Date,Approver,Department,Category,Urgency,Complexity
2023-07-01 14:02:22.919498,Charlie,IT,Training,High,Medium
2023-12-02 14:02:22.919498,Alice,Finance,Travel,High,Medium
2024-03-18 14:02:22.919498,Eve,Finance,Equipment,High,Low
2023-12-10 14:02:22.919498,David,Operations,Miscellaneous,Low,High
2023-06-26 14:02:22.919498,Eve,Finance,Office Supplies,High,Medium
2023-12-03 14:02:22.919498,David,Operations,Software,Low,Medium
2024-04-10 14:02:22.919498,Charlie,IT,Travel,Medium,Medium
2024-04-02 14:02:22.919498,Eve,Finance,Meals,High,High
2023-07-23 14:02:22.919498,Charlie,IT,Utilities,High,Low
2023-06-19 14:02:22.920214,Charlie,IT,Training,Low,High
2023-07-10 14:02:22.920214,Charlie,IT,Maintenance,Medium,Medium
2023-12-04 14:02:22.920214,Eve,Finance,Software,High,Medium
2023-10-20 14:02:22.920214,Charlie,IT,Meals,Medium,Low
2023-12-19 14:02:22.920214,David,Operations,Travel,Medium,Medium
2023-10-24 14:02:22.920214,Alice,Finance,Travel,Medium,Medium
2023-06-29 14:02:22.920214,Charlie,IT,Maintenance,Low,Medium
2024-01-17 14:02:22.920214,Charlie,IT,Wifi,Low,Low
2023-07-21 14:02:22.920214,Eve,Finance,Meals,Medium,High
2024-01-19 14:02:22.920214,Eve,Finance,Office Supplies,High,Medium
2024-04-14 14:02:22.920214,Charlie,IT,Wifi,Medium,High
2023-08-21 14:02:22.920214,David,Operations,Miscellaneous,Medium,High
2023-09-09 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,Medium
2023-10-28 14:02:22.920214,David,Operations,Miscellaneous,Low,Medium
2023-08-06 14:02:22.920214,Charlie,IT,Utilities,Medium,High
2024-02-10 14:02:22.920214,Charlie,IT,Maintenance,Medium,Medium
2023-11-18 14:02:22.920214,David,Operations,Maintenance,Low,High
2023-08-08 14:02:22.920214,Alice,Finance,Marketing,Low,Low
2023-09-09 14:02:22.920214,David,Operations,Software,High,Medium
2023-05-16 14:02:22.920214,Bob,HR,Software,High,Low
2023-05-22 14:02:22.920214,Charlie,IT,Training,High,Low
2023-07-30 14:02:22.920214,Bob,HR,Training,Low,High
2023-08-04 14:02:22.920214,Eve,Finance,Travel,Low,High
2023-08-15 14:02:22.920214,Alice,Finance,Utilities,Medium,High
2024-01-01 14:02:22.920214,Charlie,IT,Utilities,Low,Medium
2023-08-10 14:02:22.920214,Eve,Finance,Software,High,Low
2023-07-02 14:02:22.920214,Eve,Finance,Maintenance,Low,High
2024-03-20 14:02:22.920214,Alice,Finance,Utilities,Low,Medium
2023-08-25 14:02:22.920214,Charlie,IT,Office Supplies,Low,Low
2023-07-04 14:02:22.920214,Charlie,IT,Travel,Low,High
2023-11-18 14:02:22.920214,David,Operations,Software,Low,Medium
2023-11-11 14:02:22.920214,Bob,HR,Marketing,Low,High
2024-03-20 14:02:22.920214,Bob,HR,Maintenance,Low,High
2024-01-22 14:02:22.920214,Alice,Finance,Marketing,Medium,High
2023-10-04 14:02:22.920214,Alice,Finance,Meals,Medium,High
2023-10-15 14:02:22.920214,Eve,Finance,Wifi,High,Medium
2023-06-02 14:02:22.920214,Eve,Finance,Meals,Low,Low
2024-03-23 14:02:22.920214,Eve,Finance,Meals,High,Low
2023-10-28 14:02:22.920214,Alice,Finance,Miscellaneous,Low,Low
2024-01-16 14:02:22.920214,Bob,HR,Marketing,High,Low
2023-08-20 14:02:22.920214,Charlie,IT,Equipment,Medium,Medium
2023-08-27 14:02:22.920214,Bob,HR,Office Supplies,Medium,Low
2023-07-08 14:02:22.920214,Eve,Finance,Meals,Low,High
2023-05-30 14:02:22.920214,Charlie,IT,Equipment,Medium,Low
2023-05-27 14:02:22.920214,Charlie,IT,Meals,Low,High
2023-06-30 14:02:22.920214,Bob,HR,Maintenance,High,Medium
2023-12-28 14:02:22.920214,David,Operations,Miscellaneous,Medium,Low
2023-07-10 14:02:22.920214,Charlie,IT,Maintenance,High,Low
2023-12-10 14:02:22.920214,Alice,Finance,Utilities,Low,Medium
2023-07-16 14:02:22.920214,David,Operations,Software,Low,Low
2023-06-10 14:02:22.920214,Charlie,IT,Maintenance,Medium,High
2023-06-24 14:02:22.920214,David,Operations,Travel,High,Low
2023-09-19 14:02:22.920214,Alice,Finance,Maintenance,High,High
2023-11-19 14:02:22.920214,David,Operations,Utilities,Medium,Low
2023-09-07 14:02:22.920214,David,Operations,Training,Medium,Medium
2024-04-29 14:02:22.920214,Bob,HR,Software,Medium,Low
2023-09-26 14:02:22.920214,Eve,Finance,Wifi,Low,High
2023-09-23 14:02:22.920214,Bob,HR,Meals,Medium,Low
2023-10-15 14:02:22.920214,Alice,Finance,Meals,Low,Low
2024-04-28 14:02:22.920214,Eve,Finance,Software,Medium,High
2023-10-21 14:02:22.920214,David,Operations,Equipment,High,Low
2023-11-17 14:02:22.920214,Alice,Finance,Equipment,High,Low
2024-03-25 14:02:22.920214,Charlie,IT,Marketing,Low,Low
2024-03-08 14:02:22.920214,Eve,Finance,Wifi,Low,High
2023-11-06 14:02:22.920214,Alice,Finance,Meals,Medium,Low
2024-03-20 14:02:22.920214,Eve,Finance,Maintenance,Low,Low
2023-11-08 14:02:22.920214,Bob,HR,Marketing,Low,High
2023-08-16 14:02:22.920214,Charlie,IT,Meals,Low,High
2023-10-13 14:02:22.920214,Bob,HR,Meals,Low,Medium
2023-11-16 14:02:22.920214,Alice,Finance,Travel,Medium,High
2023-05-15 14:02:22.920214,Bob,HR,Office Supplies,Medium,High
2024-01-07 14:02:22.920214,Charlie,IT,Office Supplies,Medium,Low
2024-04-11 14:02:22.920214,Alice,Finance,Marketing,Low,Low
2024-03-25 14:02:22.920214,Eve,Finance,Miscellaneous,Low,High
2024-02-03 14:02:22.920214,David,Operations,Utilities,High,High
2023-05-17 14:02:22.920214,Charlie,IT,Travel,Low,High
2024-03-27 14:02:22.920214,Bob,HR,Maintenance,High,Low
2023-12-23 14:02:22.920214,Alice,Finance,Software,Medium,High
2023-09-15 14:02:22.920214,David,Operations,Software,Low,High
2023-10-07 14:02:22.920214,Eve,Finance,Travel,Medium,High
2023-08-06 14:02:22.920214,Bob,HR,Utilities,Medium,Medium
2023-07-18 14:02:22.920214,Bob,HR,Travel,High,Medium
2023-11-30 14:02:22.920214,David,Operations,Maintenance,Medium,High
2023-09-08 14:02:22.920214,David,Operations,Utilities,Low,Medium
2023-12-01 14:02:22.920214,Alice,Finance,Wifi,Low,Medium
2023-09-17 14:02:22.920214,Eve,Finance,Travel,Medium,High
2023-06-11 14:02:22.920214,Alice,Finance,Software,Medium,Low
2024-03-07 14:02:22.920214,Eve,Finance,Travel,Low,High
2023-05-25 14:02:22.920214,Eve,Finance,Training,High,High
2024-01-28 14:02:22.920214,Bob,HR,Equipment,Low,High
2024-01-02 14:02:22.920214,Eve,Finance,Travel,High,Medium
2023-10-13 14:02:22.920214,Bob,HR,Marketing,Medium,Low
2023-09-22 14:02:22.920214,Bob,HR,Meals,High,High
2023-11-26 14:02:22.920214,Charlie,IT,Training,High,Low
2023-09-27 14:02:22.920214,Charlie,IT,Office Supplies,Low,High
2023-12-01 14:02:22.920214,David,Operations,Meals,Low,High
2023-11-10 14:02:22.920214,Bob,HR,Miscellaneous,Medium,Low
2023-09-03 14:02:22.920214,Eve,Finance,Training,Medium,Medium
2023-10-21 14:02:22.920214,Eve,Finance,Meals,High,Low
2023-09-19 14:02:22.920214,Alice,Finance,Travel,Low,Low
2023-07-02 14:02:22.920214,Bob,HR,Meals,High,Low
2023-09-22 14:02:22.920214,Charlie,IT,Maintenance,Low,Low
2024-04-09 14:02:22.920214,Alice,Finance,Maintenance,Medium,Low
2023-12-28 14:02:22.920214,David,Operations,Training,Medium,Medium
2023-05-31 14:02:22.920214,Charlie,IT,Miscellaneous,Low,Medium
2023-05-09 14:02:22.920214,Eve,Finance,Utilities,High,Low
2024-04-27 14:02:22.920214,Alice,Finance,Meals,Low,Medium
2024-02-23 14:02:22.920214,Eve,Finance,Software,Low,Low
2024-04-03 14:02:22.920214,Bob,HR,Wifi,Medium,Low
2023-12-07 14:02:22.920214,Eve,Finance,Office Supplies,High,Low
2024-04-23 14:02:22.920214,Eve,Finance,Travel,High,Medium
2024-02-29 14:02:22.920214,Alice,Finance,Utilities,Low,Low
2023-12-07 14:02:22.920214,Eve,Finance,Wifi,Low,Low
2024-03-06 14:02:22.920214,Alice,Finance,Wifi,High,High
2024-04-29 14:02:22.920214,David,Operations,Wifi,Low,Medium
2023-11-21 14:02:22.920214,David,Operations,Office Supplies,Low,Medium
2023-05-24 14:02:22.920214,Bob,HR,Utilities,Medium,High
2024-03-14 14:02:22.920214,Charlie,IT,Marketing,Low,Medium
2023-06-08 14:02:22.920214,Bob,HR,Meals,High,Medium
2024-01-02 14:02:22.920214,Alice,Finance,Meals,High,Low
2024-04-17 14:02:22.920214,David,Operations,Meals,Medium,Low
2023-09-17 14:02:22.920214,David,Operations,Wifi,Low,Low
2024-04-26 14:02:22.920214,David,Operations,Meals,High,Low
2023-10-16 14:02:22.920214,Eve,Finance,Maintenance,High,Medium
2023-11-27 14:02:22.920214,Alice,Finance,Training,Low,Medium
2023-08-14 14:02:22.920214,Bob,HR,Software,High,Medium
2023-05-19 14:02:22.920214,Alice,Finance,Training,High,Low
2023-10-27 14:02:22.920214,David,Operations,Office Supplies,Medium,High
2023-09-23 14:02:22.920214,Eve,Finance,Office Supplies,Low,Medium
2023-12-26 14:02:22.920214,Alice,Finance,Marketing,High,Low
2024-05-03 14:02:22.920214,Alice,Finance,Software,Low,Medium
2023-09-06 14:02:22.920214,Eve,Finance,Marketing,Medium,Medium
2024-01-16 14:02:22.920214,Alice,Finance,Utilities,Medium,High
2023-08-14 14:02:22.920214,Alice,Finance,Office Supplies,High,High
2023-08-07 14:02:22.920214,David,Operations,Utilities,High,Low
2023-09-15 14:02:22.920214,Alice,Finance,Meals,High,High
2024-02-10 14:02:22.920214,Bob,HR,Miscellaneous,High,Low
2023-09-01 14:02:22.920214,Eve,Finance,Miscellaneous,High,High
2023-06-08 14:02:22.920214,Alice,Finance,Miscellaneous,High,High
2023-07-23 14:02:22.920214,Bob,HR,Office Supplies,High,Low
2023-05-24 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,Low
2024-01-31 14:02:22.920214,Alice,Finance,Miscellaneous,Medium,Low
2023-05-31 14:02:22.920214,Eve,Finance,Equipment,Medium,High
2023-06-22 14:02:22.920214,David,Operations,Software,Medium,High
2024-01-26 14:02:22.920214,Eve,Finance,Office Supplies,Low,High
2023-09-27 14:02:22.920214,Eve,Finance,Travel,Low,Low
2023-08-22 14:02:22.920214,Alice,Finance,Wifi,Medium,Low
2023-10-22 14:02:22.920214,David,Operations,Miscellaneous,Low,Medium
2024-01-05 14:02:22.920214,David,Operations,Miscellaneous,High,High
2023-09-19 14:02:22.920214,Eve,Finance,Wifi,Medium,High
2024-02-09 14:02:22.920214,Charlie,IT,Meals,Low,Medium
2023-05-19 14:02:22.920214,Charlie,IT,Office Supplies,Medium,Low
2024-04-18 14:02:22.920214,Charlie,IT,Software,High,Medium
2023-11-04 14:02:22.920214,Alice,Finance,Wifi,Low,High
2023-08-03 14:02:22.920214,Bob,HR,Wifi,High,Low
2023-06-03 14:02:22.920214,Bob,HR,Utilities,High,Low
2023-11-07 14:02:22.920214,Eve,Finance,Wifi,Medium,High
2024-01-18 14:02:22.920214,Alice,Finance,Maintenance,Low,Low
2024-02-19 14:02:22.920214,Charlie,IT,Wifi,High,Medium
2024-02-07 14:02:22.920214,Alice,Finance,Maintenance,Medium,High
2023-07-09 14:02:22.920214,David,Operations,Office Supplies,Low,Medium
2023-09-17 14:02:22.920214,Bob,HR,Miscellaneous,Medium,High
2023-09-09 14:02:22.920214,Alice,Finance,Training,Low,Medium
2023-10-23 14:02:22.920214,Alice,Finance,Software,Low,Medium
2024-03-03 14:02:22.920214,Eve,Finance,Meals,Medium,High
2024-04-01 14:02:22.920214,Alice,Finance,Miscellaneous,High,Medium
2024-04-05 14:02:22.920214,Charlie,IT,Software,High,Medium
