
+Date,Amount,Category,Description,Department,Urgency,Complexity,AutoApprove,Approver,ApproverName,ApproverPosition,ApproverDepartment,SpendingLimit,RequireReceipt,ComplianceLimit
2023-07-01 14:02:22.830327,452.71,Marketing,Marketing expense on 2023-07-01,HR,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2024-01-18 14:02:22.830327,83.33,Maintenance,Maintenance expense on 2024-01-18,HR,Low,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,500
2024-01-21 14:02:22.830327,174.96,Equipment,Equipment expense on 2024-01-21,HR,Low,Low,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,1000
2023-08-17 14:02:22.830327,174.66,Marketing,Marketing expense on 2023-08-17,IT,Medium,Medium,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-06-30 14:02:22.830327,369.86,Marketing,Marketing expense on 2023-06-30,Operations,High,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,1000
2023-06-26 14:02:22.830327,377.17,Utilities,Utilities expense on 2023-06-26,IT,Medium,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2024-01-16 14:02:22.830327,25.99,Travel,Travel expense on 2024-01-16,HR,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-12-12 14:02:22.830327,377.75,Travel,Travel expense on 2023-12-12,Operations,High,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,500
2023-09-01 14:02:22.830327,247.24,Meals,Meals expense on 2023-09-01,Operations,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2024-03-01 14:02:22.830327,476.9,Wifi,Wifi expense on 2024-03-01,HR,High,Medium,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2023-07-29 14:02:22.830327,389.79,Miscellaneous,Miscellaneous expense on 2023-07-29,Finance,High,Medium,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2023-05-27 14:02:22.830327,179.03,Wifi,Wifi expense on 2023-05-27,HR,Low,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-10-12 14:02:22.830327,325.58,Utilities,Utilities expense on 2023-10-12,Finance,Low,Medium,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2023-08-19 14:02:22.830327,63.56,Maintenance,Maintenance expense on 2023-08-19,IT,High,Low,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,500
2024-01-26 14:02:22.830327,106.45,Miscellaneous,Miscellaneous expense on 2024-01-26,HR,Low,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2023-06-14 14:02:22.830327,285.43,Meals,Meals expense on 2023-06-14,Finance,Low,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-11-13 14:02:22.830327,465.36,Travel,Travel expense on 2023-11-13,IT,Low,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-05-24 14:02:22.830327,471.54,Meals,Meals expense on 2023-05-24,Operations,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,50
2023-11-15 14:02:22.830327,190.03,Training,Training expense on 2023-11-15,Operations,Medium,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,300
2024-02-18 14:02:22.830327,133.34,Office Supplies,Office Supplies expense on 2024-02-18,IT,High,Medium,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2023-05-14 14:02:22.830327,32.75,Utilities,Utilities expense on 2023-05-14,HR,High,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2024-05-07 14:02:22.830327,144.4,Utilities,Utilities expense on 2024-05-07,Operations,Medium,High,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,False,200
2023-12-24 14:02:22.830327,100.41,Maintenance,Maintenance expense on 2023-12-24,HR,Medium,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,500
2023-10-17 14:02:22.830327,475.79,Training,Training expense on 2023-10-17,Operations,Medium,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,300
2023-10-30 14:02:22.830327,382.51,Utilities,Utilities expense on 2023-10-30,Finance,Low,Low,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,200
2023-08-02 14:02:22.830327,474.81,Training,Training expense on 2023-08-02,HR,Medium,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,300
2023-10-13 14:02:22.830327,226.16,Office Supplies,Office Supplies expense on 2023-10-13,HR,Medium,High,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,100
2024-05-04 14:02:22.830327,267.96,Training,Training expense on 2024-05-04,Finance,Low,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,300
2023-06-13 14:02:22.830327,491.9,Software,Software expense on 2023-06-13,HR,Medium,Low,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,200
2023-05-23 14:02:22.830327,429.82,Marketing,Marketing expense on 2023-05-23,IT,Medium,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,1000
2024-03-13 14:02:22.830327,21.58,Travel,Travel expense on 2024-03-13,HR,High,High,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,500
2024-03-15 14:02:22.830327,49.06,Wifi,Wifi expense on 2024-03-15,HR,Low,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,50
2024-05-07 14:02:22.830327,138.92,Wifi,Wifi expense on 2024-05-07,HR,Low,High,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,50
2023-07-13 14:02:22.830327,499.71,Equipment,Equipment expense on 2023-07-13,Operations,Low,High,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,1000
2023-10-02 14:02:22.830327,58.36,Utilities,Utilities expense on 2023-10-02,Finance,Medium,High,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2023-07-25 14:02:22.830327,156.92,Maintenance,Maintenance expense on 2023-07-25,Finance,Medium,Low,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,500
2023-09-06 14:02:22.830327,267.71,Office Supplies,Office Supplies expense on 2023-09-06,Operations,High,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,100
2023-05-22 14:02:22.830327,134.96,Miscellaneous,Miscellaneous expense on 2023-05-22,Operations,Medium,High,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2023-10-06 14:02:22.830327,352.69,Utilities,Utilities expense on 2023-10-06,Finance,Low,High,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,False,200
2023-12-29 14:02:22.830327,65.37,Equipment,Equipment expense on 2023-12-29,Finance,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,1000
2024-01-19 14:02:22.830327,439.87,Training,Training expense on 2024-01-19,HR,Low,High,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,300
2024-01-13 14:02:22.830327,139.7,Miscellaneous,Miscellaneous expense on 2024-01-13,IT,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,200
2024-01-10 14:02:22.830327,96.34,Marketing,Marketing expense on 2024-01-10,IT,Medium,Medium,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-12-28 14:02:22.830327,121.81,Utilities,Utilities expense on 2023-12-28,Operations,High,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,False,200
2023-10-07 14:02:22.830327,474.39,Miscellaneous,Miscellaneous expense on 2023-10-07,Operations,Low,Low,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,200
2023-08-31 14:02:22.830327,328.86,Wifi,Wifi expense on 2023-08-31,Finance,Low,High,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2023-08-03 14:02:22.830327,284.47,Training,Training expense on 2023-08-03,Finance,Low,Low,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,300
2023-05-16 14:02:22.830327,479.33,Training,Training expense on 2023-05-16,Finance,Medium,Medium,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,300
2024-03-26 14:02:22.830327,140.12,Utilities,Utilities expense on 2024-03-26,Finance,High,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,200
2024-03-23 14:02:22.830327,465.26,Training,Training expense on 2024-03-23,Finance,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,300
2023-07-11 14:02:22.830327,159.05,Maintenance,Maintenance expense on 2023-07-11,Operations,High,Medium,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2024-01-14 14:02:22.830327,283.52,Utilities,Utilities expense on 2024-01-14,IT,High,Low,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2024-04-20 14:02:22.830327,38.34,Training,Training expense on 2024-04-20,IT,Medium,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,300
2023-11-24 14:02:22.830327,300.0,Miscellaneous,Miscellaneous expense on 2023-11-24,Finance,Medium,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2023-10-19 14:02:22.830327,191.32,Office Supplies,Office Supplies expense on 2023-10-19,IT,Low,Medium,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2024-01-23 14:02:22.830327,370.27,Wifi,Wifi expense on 2024-01-23,HR,High,Low,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,50
2024-01-17 14:02:22.830327,349.98,Travel,Travel expense on 2024-01-17,Operations,High,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-07-12 14:02:22.830327,386.57,Equipment,Equipment expense on 2023-07-12,Operations,High,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,1000
2024-02-29 14:02:22.830327,34.59,Office Supplies,Office Supplies expense on 2024-02-29,Finance,Low,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,100
2023-08-05 14:02:22.830327,244.76,Maintenance,Maintenance expense on 2023-08-05,HR,High,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,500
2024-01-14 14:02:22.830327,134.74,Equipment,Equipment expense on 2024-01-14,HR,Medium,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-09-08 14:02:22.830327,237.82,Travel,Travel expense on 2023-09-08,HR,Medium,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,500
2023-10-20 14:02:22.830327,468.42,Travel,Travel expense on 2023-10-20,IT,Medium,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,500
2024-01-11 14:02:22.830327,435.64,Wifi,Wifi expense on 2024-01-11,IT,Low,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-08-26 14:02:22.830327,417.39,Travel,Travel expense on 2023-08-26,Operations,High,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-12-17 14:02:22.830327,27.48,Maintenance,Maintenance expense on 2023-12-17,IT,High,Low,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2023-07-22 14:02:22.830327,75.0,Travel,Travel expense on 2023-07-22,Finance,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2023-10-29 14:02:22.830327,34.03,Equipment,Equipment expense on 2023-10-29,IT,High,Medium,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-05-09 14:02:22.830327,413.23,Software,Software expense on 2023-05-09,Finance,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,200
2024-04-24 14:02:22.830327,298.09,Utilities,Utilities expense on 2024-04-24,Finance,High,Medium,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2023-07-04 14:02:22.830327,220.03,Marketing,Marketing expense on 2023-07-04,Finance,Medium,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,1000
2023-06-05 14:02:22.830327,334.35,Miscellaneous,Miscellaneous expense on 2023-06-05,Finance,Medium,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,False,200
2023-10-05 14:02:22.830327,78.35,Miscellaneous,Miscellaneous expense on 2023-10-05,IT,High,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2023-09-10 14:02:22.830327,142.12,Wifi,Wifi expense on 2023-09-10,IT,Low,High,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-11-07 14:02:22.830327,488.77,Equipment,Equipment expense on 2023-11-07,Finance,High,Medium,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,1000
2023-05-14 14:02:22.830327,304.22,Travel,Travel expense on 2023-05-14,HR,High,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,500
2023-12-28 14:02:22.830327,498.16,Equipment,Equipment expense on 2023-12-28,Finance,Low,Low,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,1000
2023-08-02 14:02:22.830327,65.8,Miscellaneous,Miscellaneous expense on 2023-08-02,Finance,Medium,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,False,200
2024-04-10 14:02:22.830327,445.97,Office Supplies,Office Supplies expense on 2024-04-10,Operations,High,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,100
2023-09-09 14:02:22.830327,34.69,Wifi,Wifi expense on 2023-09-09,HR,Medium,High,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,50
2023-09-18 14:02:22.830327,395.9,Wifi,Wifi expense on 2023-09-18,Finance,Low,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2024-02-19 14:02:22.830327,234.22,Utilities,Utilities expense on 2024-02-19,IT,High,Low,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,200
2023-12-29 14:02:22.830327,466.55,Software,Software expense on 2023-12-29,Finance,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,200
